0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.06
0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.07
0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14
0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.14
0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.45
0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.35
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.42
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,0.99
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,2.83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,5.01
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,8.94
0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,12.12
0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,9.03
0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,13.07
0.0,0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,12.85
0.0,0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,11.95
0.05,0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,10.93
0.0,0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,7.39
0.0,0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,4.35
0.02,0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.05
0.06,0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,2.08
0.07,0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,1.19
0.14,0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.78
0.14,0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.22
